(1611, 0.1869212636226888)
(976, 0.1855022891917513)
(1670, 0.18463016880368222)
(276, 0.18423375044546902)
(973, 0.1830877410099072)
(584, 0.18304449537082942)
(255, 0.18230883899940584)
(874, 0.1818552402961897)
(1744, 0.18177595662454724)
(1409, 0.18177067104643757)
(685, 0.18088873458473656)
(1337, 0.17962623649915094)
(1062, 0.17949502637882808)
(1439, 0.17559711581453072)
(320, 0.1754909237452397)
(885, 0.17542797731502638)
(358, 0.1752895912699772)
(1646, 0.1745299324248007)
(445, 0.17408544047521096)
(1807, 0.17333355246831406)
(1013, 0.17327201059731884)
(1538, 0.1705969589229347)
(1754, 0.16811273721146527)
(944, 0.16765913850824923)
(1584, 0.16675434363732133)
(133, 0.165617944343777)
(614, 0.1642278373009759)
(1150, 0.1631654361009646)
(477, 0.16310595882641363)
(855, 0.1626450722005757)
(1524, 0.16260612583555825)
(1163, 0.16175230167940635)
(1635, 0.16174890116761603)
(831, 0.16167394205988117)
